Q16850	-0.7139845,0.16267581,-0.7038692,-1.0796595,-0.013475062,-0.66449577,-0.11813223,0.47477603,-0.3758324,0.37409997,-0.65066737,0.5476741,1.476844,-0.24791236,0.045900483,0.03617446,-0.72644955,-0.85248065,-0.09090325,-0.56960624,0.45331588,-0.07684279,0.9166011,0.22063066,-1.4946316,-0.08642714,0.47076482,0.03145824,0.39592203,-0.20635006,0.7670647,0.71254647,0.13415651,0.40315306,0.6609815,0.13750792,0.07945901,-0.82416177,-0.59415895,0.4018508,-0.010117776,-1.0695997,-0.23749898,-0.33747557,-0.213159,-1.1707163,-0.4769333,0.3613892,-0.2070784,0.83257747,0.5227951,0.49400368,-0.78104717,0.6637158,-0.42596674,-0.30771387,-1.1587311,0.35438555,-1.2837932,-0.036031604,0.73068684,0.40216646,0.07356486,0.76615804,-0.0014268324,0.6966274,1.1650437,0.06556006,0.91604185,0.29224524,0.52695847,-0.44963336,0.48609048,-0.10930104,-0.59431386,0.21151833,0.17479853,-0.26256335,-0.63506615,-0.53288746,0.85208446,0.6929589,-0.23855402,-0.40735486,-0.5877215,0.44975945,-0.29082006,-0.97661215,-0.62223136,-0.4571328,0.66170734,-0.028911337,0.3744247,0.8909871,0.53880256,0.35793775,0.42268944,-0.83957374,0.76678866,0.07956958,0.045462262,0.80161977,-0.0524983,-1.4080558,0.2773821,-0.4102536,-1.1149226,-0.5194988,-0.12904471,1.2125788,-0.58473533,-0.9190752,-0.4800191,0.2587171,0.17466496,0.95908266,0.046598386,-1.081065,0.17119059,0.38193887,0.32444468,0.024943879,-1.009752,0.3463627,-0.07025337,0.27217436,-0.21165496,1.3236635,0.23601213,0.79931825,0.37937975,0.86658734,-0.20662777,0.5542579,0.60234034,-0.597757,-0.23479882,-0.009786943,-0.55779284,0.615287,0.4204343,-0.20135868,-0.15946332,1.144448,-1.1080784,0.15142162,0.09083451,0.9368305,0.25443754,0.32686213,-0.17916414,0.7986157,0.48936218,-0.58095646,0.55737275,0.6727491,-0.70083123,0.4826781,-1.0942758,-1.1607261,-1.242965,0.44927227,0.9538565,-0.90443546,0.9767071,-0.077629186,-0.6735618,0.08921206,-0.517626,0.1190919,-0.24911703,-0.14590016,0.22060217,0.43788958,0.6352412,0.321274,-0.32263058,0.4479296,-0.58813894,0.08150458,0.6181298,1.1083419,0.7508587,-0.123871945,-0.57624227,-0.013005178,-0.6653931,-0.15580285,-0.05090497,-0.14647332,0.064790495,-0.40751916,0.52143633,-0.26704714,0.283196,-0.973251,-0.4418151,1.1894174,0.05340959,0.6152491
O75865	0.08741813,-0.39131463,0.33995837,0.11675719,1.1884214,0.4826291,0.24610329,0.02360787,0.23212236,0.42337993,0.5012552,0.006423404,0.5351838,-0.74068725,0.09411074,0.52596176,0.7015612,-0.53174114,-0.28616464,0.50676584,-0.54464537,0.22007723,-0.54203844,0.8912035,-0.5808396,-0.21372794,-0.022348102,-0.9028097,0.2944142,-0.23621084,-0.25068948,0.39994097,-0.41889447,0.77508354,0.24795955,0.15560809,-0.47050187,0.13338147,0.49180058,-0.9289101,0.5200541,-0.3297127,0.18128681,0.18296665,-0.24374832,-0.111129716,-0.43300512,0.3576414,-0.86752146,0.9844328,-0.018789701,0.20428817,0.0070393155,0.5591236,-0.27717617,0.0030315588,-0.051539037,0.23115833,-0.8277294,-0.5775948,0.8402741,-0.43243563,-0.33714718,0.17229342,-0.35566935,0.24956873,0.8279937,0.38184714,-0.21989709,-0.69543344,-0.15626091,-0.13323016,-0.1269522,1.2825613,-0.9291358,0.17508468,0.49962226,-0.29581818,-0.28740212,-1.314373,0.026253983,0.29626873,-0.13995685,0.87836844,-0.19406627,0.21420269,0.34780797,-1.0263103,0.37877017,-1.1185313,0.5155356,0.04935919,-0.39582798,0.86424905,-0.9125301,-0.253152,0.2614696,0.40568373,-0.24243434,-0.68373615,-0.5577582,0.49304786,-0.5540226,-0.364054,0.90246445,0.96180457,-0.48894873,-0.04868914,0.29189473,-0.087151274,0.19036381,-0.14951393,0.33532864,0.48630264,-0.44864547,0.45991418,-0.4683814,-1.0012105,0.35924438,0.12396994,0.6770649,0.027778491,-0.1885198,0.3149631,0.25119916,0.64938694,0.43911073,0.048758294,-0.94830674,-0.14390472,-0.5174091,-0.10921005,0.21759604,0.6305792,1.5172635,-1.06997,0.36044613,-0.3636333,-0.32623425,0.77305746,0.8720694,-0.49536732,-0.7772255,0.35535157,-1.2502998,0.5367585,-0.45599276,0.77966774,0.33438888,0.76095706,0.5226747,0.6694095,0.26978037,0.25766575,-0.55215716,-0.2868885,-1.4397172,0.297769,-0.517077,0.25124657,-0.5539084,-0.40213838,0.58301884,-0.25405326,-0.16239566,-0.66477686,-0.9636678,0.29107308,-0.3063117,-0.9827843,0.80531484,-0.3628738,0.69125694,-0.15826659,0.039982144,-0.39157218,0.10998844,0.66891927,-1.3632001,0.084056325,1.0863127,-0.3104465,0.6764089,-0.29793638,0.252515,-0.91961104,0.9584857,0.037276093,1.5178964,0.1986854,-0.9764513,0.25560784,0.21508339,0.45114338,0.3871944,-0.62923753,0.08072927,-0.46331096,-0.63113666,0.25106215
Q16526	-0.6554387,-0.9176015,-0.8723803,-0.8299484,0.076389425,-0.19516392,-0.5371827,0.6030261,0.14372624,-0.276745,-0.20991403,-0.53279877,0.6531233,-0.6026822,-0.6403036,-0.679317,-0.6002445,-0.18541212,0.22222152,-0.88403976,-0.5079542,-0.4766893,1.0981044,-0.17114007,-1.3403175,-0.40649182,0.4010377,0.91404694,-0.9591735,0.1168872,0.15571505,0.6882115,-0.79299116,-0.41034612,0.097492196,-0.7482876,0.28404546,-0.5986119,-0.79849404,0.68163353,0.062883854,0.44311786,-1.9941678,0.3493534,1.252291,-0.68657947,-0.32955906,0.68630743,-0.60343003,-0.3237906,1.1638399,0.78872377,-0.37949866,1.0267115,0.20685434,0.97826606,0.024281183,0.555541,-0.4118491,1.0702827,-0.095621765,0.716567,-0.2096029,0.2556451,0.89950943,-0.36345175,0.033633433,0.27130306,0.055179358,0.12920488,1.233422,1.5768416,0.11851876,0.10695502,-0.8858865,0.08512364,-0.11372618,0.20805183,-0.6054242,0.5992758,-0.14838527,-0.002760831,0.53661543,0.42590135,0.85726863,1.256468,-0.3208475,-0.88271904,-0.7019372,0.012551492,-0.6865318,0.20001811,0.47247916,0.8135608,0.85385734,0.6639868,-0.6193064,0.5684585,0.046891022,0.15442824,0.32089883,0.5277688,-0.26157853,-0.15078436,1.0099279,0.95239866,-1.0094218,-0.9715164,0.6665778,0.9516042,-0.23340952,0.49541175,0.025469141,-0.11555874,0.11959551,0.33901572,0.7465676,-0.5896076,0.23907305,0.69517547,-0.45111206,-0.3038591,-1.3821633,-0.5709926,-0.0930462,0.1603363,-0.44252294,-0.085870445,-0.886252,-0.9684392,-0.58843696,-0.63876176,0.21090995,1.1813405,0.03933193,-0.17337397,1.340906,0.44652718,-0.7679824,1.0615205,1.006907,0.21990342,0.09277441,-0.34813088,-0.3922228,0.29985788,-0.33565846,-0.5705131,0.2949334,-0.029748945,-0.6803367,-0.08995706,0.6328788,-0.26277888,0.27424255,0.4435976,-0.22471601,0.35809174,0.7197107,-0.17315862,-1.5089751,-0.19498448,1.1905062,-0.32615894,-0.0670452,0.0918136,-0.13158086,-0.296336,-0.030699598,-0.20190108,-0.50175405,0.18262345,-0.58433026,0.19298755,0.4473048,0.29785156,-0.21554798,1.3277429,-0.43701378,0.32369608,0.06399263,0.48199558,0.117703885,-0.1999962,0.2061772,-0.8215017,-0.014876913,0.23804629,0.05744989,-0.20379384,-0.38421577,0.21200134,0.043456104,0.3056086,1.0007975,-1.7142023,0.26910338,0.52834576,-1.5382906,-0.2598998
P07992	0.28947106,-0.30890986,-0.9648897,-0.030295704,0.32191646,-0.03846841,-0.6355908,-0.042654496,0.21105166,-0.09657598,0.27478105,1.1635507,0.59026957,0.29277542,0.005168386,0.63105017,-0.18115997,-0.45617366,-0.12013519,-0.21542741,-0.34384078,-0.1136123,1.6631142,-0.707671,-1.0744716,0.45598027,0.27112988,0.22959954,-0.4638838,-0.12932986,-0.9655727,-0.8719212,-0.9121787,0.7340326,0.3522282,-0.3612796,-0.1356283,-0.6401811,-0.3559385,-0.22498626,-0.22190017,0.08774084,-0.60502326,-0.17570882,-0.1903485,0.1651791,-0.5693781,0.09551454,-0.7125173,-0.15196459,0.7220093,0.80112785,0.07481347,0.055813145,0.6029201,0.12292661,-0.71066654,0.24126936,-1.1150568,0.82246935,-0.40006492,0.78302115,0.41399854,-0.07463723,0.5925748,0.7698479,-0.18329903,0.019512022,0.5718237,-0.46709776,-0.53526604,-0.028155781,-0.30569276,0.29824612,-1.1927985,-0.98019534,0.14474358,0.6051471,-0.15566798,0.59387666,-0.24085924,0.5449075,-0.9647814,-0.7119146,0.37737617,-0.79040533,0.27954078,-0.087491654,-0.945363,0.5191775,1.0011177,0.54007155,-0.13652223,1.3380781,-0.71517223,0.37491903,-1.1051413,0.8084331,0.82501656,0.15407287,-0.63459635,0.3183727,-0.6636454,-0.700975,0.52201545,0.30056468,-0.04767662,-0.22190914,-0.23821275,0.26308995,-0.5587526,0.46906486,0.07340137,0.22630748,0.06305192,0.8849292,-0.34869418,-0.438887,-0.34030235,-0.28003222,-0.79336196,0.79017836,-1.542213,0.06691916,-0.4995534,-0.26179847,0.8978585,-0.08187337,-0.66613907,-1.3993013,-1.5431753,-0.77234536,0.26545832,-0.41793013,0.5228524,1.0358427,1.2215092,0.63116455,-0.1196218,0.46386215,0.9379943,0.33589533,-0.7121441,-0.10595589,0.14766395,1.1718799,-0.029411418,-0.03836868,-0.5440834,-0.19445299,-0.89925224,0.17694461,-0.82024693,-0.13530605,-0.9697063,-0.052836634,0.9681745,0.8715642,-0.42703938,0.272796,-1.1430672,0.26090252,-0.6582594,0.27144873,-0.121453434,0.2680603,-0.8318757,0.03135856,0.1860935,-0.1202728,1.080749,-0.34526122,-0.18245296,1.2240576,0.30770296,1.3011324,-0.2953639,-0.14325699,-0.30904272,-0.22444648,0.6605855,1.0642226,0.10739684,-0.06500996,-0.81724185,-1.1355201,-0.6852227,-1.1560314,1.0589786,0.5217736,0.15451819,-0.20662701,0.045565642,1.001352,-0.49827293,-0.7630521,1.2040288,0.26908967,-0.93671066,0.5401765
P00480	0.32652053,-0.21444778,-0.3928755,0.06542572,0.29075414,-0.5860655,-0.48168194,0.63708675,0.54451644,0.32714504,0.49694547,0.28055918,0.7126466,-0.14097916,-0.38636458,0.33533734,0.61111015,-0.7331968,0.17609763,-0.8032225,0.790456,-0.9517625,1.341707,0.32659814,-1.2349119,-0.6045816,0.31825447,-0.25741085,-0.04070428,0.31936985,-0.016675796,0.05295776,-0.8169257,0.22580856,0.48706737,-0.6780148,-0.6589706,0.14725326,-1.2223092,0.34414592,-0.21314733,-0.31819242,-0.96057767,-0.49444905,0.27096385,-0.78853995,-0.4348544,-0.09911912,-0.5649884,-0.22433504,0.19961856,0.5130182,-0.18288897,0.45263118,-0.2307288,-0.045944966,-0.6152827,0.8902174,-0.49316257,0.7009446,1.0128453,-0.9862243,-0.75956017,-0.25780538,0.9309452,0.5068229,0.42945877,0.45533204,-0.008737872,0.4487952,0.38145947,-0.18042997,0.19525185,0.058091827,-1.2901567,-0.5982214,0.4193872,0.3679258,0.9578523,0.2455326,0.06817208,0.38904825,-0.6308701,-0.25734103,-0.45661545,-0.010142727,0.12141926,-0.39024615,-1.0050955,0.3524209,0.8520464,0.97310024,-0.14374943,0.28798142,0.83289665,0.37593293,-0.36971977,0.222654,0.018871723,0.23417355,-1.0992509,-0.12454288,-1.4249914,0.12908606,0.22499096,0.4101711,0.02258475,-0.5892572,0.2510435,0.12543166,-0.6953244,-0.11708491,-0.44902846,0.2995317,0.28601792,-0.18555275,-0.6716428,-0.39834124,-0.16242507,-0.12520906,0.24796389,0.21670336,-1.0264431,-1.5248877,-1.2673503,0.9220974,-0.74660194,-0.39908242,-0.40106574,0.11749491,0.22969723,-1.093692,0.37902382,1.1437008,0.21419388,-0.13303055,0.6686594,-0.34519395,0.7840647,1.0382038,1.0497808,0.10907935,-0.4252933,0.04413933,-0.5392089,0.8910409,-0.2641206,0.02527057,0.19866344,0.54159075,-0.5080434,0.8247614,0.14042704,-0.26196158,0.35307577,0.34631023,-0.6788206,9.846609e-05,0.49760696,0.04167575,-2.1936076,-0.07866838,0.8998992,-0.07579006,0.13315839,-0.25436366,-1.1810187,0.46503928,0.6069742,-0.8317664,0.11614837,-0.26996952,-0.02610952,0.18299116,0.6190434,0.041469626,-0.39954406,0.17297976,-1.4080766,0.5249049,-0.6280743,-0.25398192,-0.24661185,-1.4256628,0.06087025,-0.6971018,-0.099553056,-0.8257243,-0.40815988,-0.26887578,-0.22539158,-0.056405418,0.5278089,0.26515508,0.7505408,-1.932662,-0.8401694,-1.0408833,-0.53707415,0.4393373
P25789	0.48362154,-1.0591354,-0.01714451,-0.4242868,0.4365821,0.20038739,-0.15086156,0.47381756,0.1803156,0.18944816,0.065156646,0.05477469,0.41830158,-0.28697994,-0.6838171,0.036867186,-0.371912,-0.9085392,0.85195386,-0.95127773,-0.037514776,0.34686884,1.379179,0.26960957,-0.06544781,0.011986516,-0.37458187,-1.1118165,1.0160177,0.74417114,-1.2302145,0.651671,-1.452637,0.28350267,0.083057396,0.44653526,0.15419957,-0.34015587,0.14043087,-1.599268,0.22870603,-0.69419473,-0.27042452,0.18070832,-0.11934488,-0.164838,-0.48676652,0.6294456,-0.5493088,0.054729007,0.43222967,-0.018318504,-0.9409435,0.30705187,-0.6176798,0.041882318,0.22500809,-0.27988762,0.03953669,-0.59283423,0.008296363,0.8282291,-0.5090937,0.37592316,0.6742207,0.4695462,0.3658595,-0.010275751,-0.34577918,0.2373001,-0.3737588,0.32810846,0.914422,-0.38554746,-0.517849,0.14725395,0.244918,-0.90425533,-0.28660494,0.49889177,0.09869231,0.34957466,0.08863092,0.27408856,-0.22131348,0.4317424,0.55125314,-0.109229095,-0.59837604,-0.19468507,0.6086461,-0.08438656,0.09976494,0.7517641,-0.05705378,0.5030615,0.65631056,0.41834545,0.32990947,0.1498683,-1.4626184,0.03897343,-0.8546377,-0.38129112,0.45518935,0.22033074,-0.20864923,0.7265457,0.41123444,0.11397108,0.9992727,0.3103434,-0.49626282,-0.6421955,0.87295836,0.66702557,-0.53194577,-0.5925685,-0.60660267,0.16837789,1.050556,0.4671924,0.007521505,0.6671059,-0.21085888,0.86349106,-0.4439811,-0.02623759,-0.033620734,-0.1575263,-0.14586838,0.097110406,0.2749653,0.92431587,0.1583584,-0.63919145,1.3302665,-0.07637952,-0.21158138,1.2661387,0.7514207,-0.007713565,-0.6504234,0.6697729,0.05279894,0.15818885,0.36754164,-0.3663112,-0.35629982,0.032101765,0.4790182,0.21696484,-0.25005496,-0.1933064,-0.3055389,0.55831254,-0.4152622,0.3567373,-0.22228768,-0.84536886,-0.7398061,-0.83376014,0.2255811,-0.36430678,0.76966804,0.01863763,-0.7542429,0.03340709,-0.17964102,0.35218358,0.6689372,-0.39850453,0.13423406,-0.50298154,0.45667934,-0.4098901,-0.8290798,0.51637584,-0.93280077,0.029734002,1.0847117,1.1666325,1.0914934,1.0365062,-0.24592726,-0.86497176,0.1438203,-0.39766747,0.01117103,0.606345,0.55360675,0.34661695,0.006178232,0.58256054,-0.29933912,-1.2965732,-0.94391143,0.16979687,-0.94672215,0.17807277
P35250	0.81282586,-0.5295209,-0.8825816,0.8013614,0.778367,0.11179168,-0.13997442,0.90184915,-0.117460534,-0.10045223,0.042349923,0.22092023,0.04866398,-0.25825396,-0.34552565,-0.30985618,0.06705908,-0.44405606,0.3122365,-1.6080098,-0.30596015,0.27145034,0.5631228,0.48542017,0.1369943,0.093082055,-0.36038232,-0.8471705,0.5861576,0.45009622,-0.091625355,-0.43737674,-0.23619485,0.7184784,0.17104131,-0.52871233,0.27955025,0.18676057,-0.38486746,-1.0661591,-0.7794403,0.5579229,-0.77149135,0.08213337,-0.81631094,0.382035,0.57054824,0.56373304,0.22630742,1.1283327,0.32935363,0.5305625,-0.54091924,-0.050524786,0.3500964,-0.41466033,-0.29326174,-0.6876114,0.5731517,-0.49699327,-0.38654548,0.6922743,-0.40579242,-0.51814926,0.7908233,0.111741506,-0.58921695,0.060918603,-0.5619591,-0.14905798,0.2380619,0.1940297,0.18304294,-0.3663901,-0.37281975,-0.6372572,0.3352782,-0.48964608,0.1983935,0.023621054,-0.47097665,0.77241546,-0.5574909,-0.5280005,0.20081806,-0.3408505,-0.14096425,-0.17696296,-1.3947606,0.60328996,-0.23112108,0.10307836,0.01199252,0.58369166,0.09417879,0.6515114,-0.31715614,0.06374238,-0.22454607,0.13414037,0.07791098,0.29608914,-0.45927846,0.15566666,0.6288436,0.43413237,-0.46189648,0.2221502,0.32799572,0.32107368,-0.7626707,0.44866484,-0.08166159,0.44055817,1.0908991,-0.44540522,-0.17512688,-0.48262402,-0.0044577518,-0.08721102,0.041665558,0.7957243,-0.88914865,0.12893395,-1.4091792,0.70880806,0.19372809,0.3314078,0.8229229,-0.5724285,-0.55603117,-0.038323894,-0.39769188,-0.0895728,0.17508872,0.5124371,1.2845231,0.18090086,0.12515752,1.2646862,0.67687744,0.24038754,-0.45770496,0.8770287,0.2229778,0.8213818,-0.58620876,0.27330318,-0.7775086,1.4296601,-0.019846864,0.13093914,-1.0186886,-0.495234,-0.16512094,-0.44884875,0.385666,0.5233016,0.23156624,-0.5724228,-0.68684393,-0.05641696,0.31503502,-0.6099754,0.19834547,0.9450298,0.26944828,-0.027321447,0.3358734,-0.7355513,0.6687185,-0.50599545,-0.13591565,0.6168452,0.8418709,-0.19473733,-0.36735374,0.35792142,-0.7684099,0.08514305,0.99560654,-0.03410123,0.43441844,-0.34756157,0.2751544,-1.3843434,-0.40644917,0.6767019,-0.11297432,-0.19028744,-0.78916615,0.3407518,-1.0940982,1.1888063,-0.22970285,-1.8145047,0.12860377,0.22946313,-0.03191168,0.881461
P82673	0.65033805,0.18212895,-0.7676236,-0.31597963,0.7697582,0.009590609,0.30212787,0.11066076,0.007194175,0.77086395,-0.021475187,-0.0046221158,0.35903293,-0.013643169,-0.028326934,0.19295157,0.12971939,-0.44691458,0.97478664,-0.753846,-0.17425737,0.2758164,1.0607824,0.51695454,-0.15144259,-0.47205147,0.16273944,-0.7107883,0.350666,-0.9592431,-0.8788996,-0.15520047,0.25361538,1.0574325,0.20378551,-0.87344676,-0.09630919,0.4052993,-0.48361865,0.3030791,0.22849172,0.5234998,-0.64698845,-0.30052528,-0.14223902,-0.42685208,-0.10274994,-0.32635853,-0.5570155,0.23660095,0.45270145,0.40125078,-0.48893496,0.19152857,-0.19003887,0.15282984,0.32112795,-0.30294418,-0.86064094,0.5324964,0.21474415,-0.010961931,0.008813478,-0.10058588,0.22014005,0.8205928,0.69525194,0.37483805,-0.29435027,0.29491308,0.3541346,0.3121227,-0.07974819,0.25984022,-0.06855164,-0.030943917,0.6108586,-0.30843443,-0.21696898,-0.014140037,0.63403046,-0.118161015,0.09041954,0.013924602,-0.22318119,0.1193954,-0.23197079,-0.21281703,-0.13382138,0.19790955,0.0058525507,0.39036658,-0.4600546,0.49982068,-0.074218795,0.27233452,-0.09117522,0.21493259,0.26881173,-1.0736612,-0.409625,0.16530667,-0.20577992,0.79121196,0.58569956,0.512962,-0.9304541,-0.84003705,-0.32888758,0.49971846,-0.38751715,0.56328154,-0.23751637,0.9229702,0.05146192,0.6891961,-0.6126942,-0.8288122,-0.16536304,0.46864903,-0.084761426,-0.13268332,-1.2222502,-0.73384196,-0.5958434,0.3985608,-0.1480906,0.48971993,-0.5912017,-0.021755246,-0.10653667,0.11251422,0.18180911,0.69214666,0.19472966,-0.6154419,0.77264434,-0.03460812,0.7768807,0.94578743,-0.17639133,-0.69745517,-0.4494681,0.8573975,0.5201801,1.5853602,-0.5137981,0.5699447,0.6577489,0.8453645,0.5659839,0.06296072,-0.21810792,-0.5563565,1.0364305,1.0125383,-0.2859727,-0.3218108,-0.04553434,-0.3276524,-1.0441347,-1.1647593,0.5305836,-0.25302544,-0.70391667,-0.18566051,0.035393845,0.61362135,0.24508192,-1.1543752,0.6285919,-0.9283518,0.09628638,-0.088772595,-0.02527301,-0.33675024,-0.8273324,1.1167239,-0.87752837,-0.07913458,0.56092703,0.0049920594,-0.26192063,-0.67453235,-0.46809924,-0.79147214,-7.664499e-05,0.3141859,0.057618555,0.5303653,-0.6390961,0.07324416,-0.021132397,0.38683677,0.2695584,-1.161567,0.03320141,-0.23269425,0.13295008,0.68349016
P43686	0.39228275,-0.6660531,-0.41556525,-0.16551657,0.28191766,0.50093096,0.18080918,0.3828042,0.11876167,-0.035320636,-0.37915078,0.09355879,-0.09928654,-0.022059055,-0.028948756,0.4673728,-0.042205516,-0.85926807,0.72770506,-0.8425574,-0.06515779,0.29213014,1.168151,0.86794466,-0.16718113,-0.23456103,-0.62890023,-1.2483147,1.0711613,1.0589089,-0.8588961,0.86132425,-1.0951306,0.34838465,0.20406856,0.43105152,-0.116524026,-0.1959011,0.12657887,-1.593008,-0.4109107,-0.16952544,-0.30652907,0.38620335,-0.45309952,-0.12912449,0.25358844,0.58413374,0.39296728,0.15876798,-0.035931896,0.3341042,-1.571307,0.454467,-0.8819775,-0.093468405,0.110895924,-0.04168417,-0.21474603,-0.62899196,-0.16909689,1.080388,-0.375152,0.095225915,0.98305297,0.36592308,-0.010856637,0.008308358,-0.2245792,0.48930678,-0.1986632,0.18716544,1.2671341,-1.0607388,-0.44748458,0.06421508,0.49958587,-1.1855433,-0.20807052,0.85326123,0.23707883,-0.37148213,0.047982696,0.19664285,0.3842591,0.5005613,0.36252457,-0.45110726,-0.5293545,-0.10335857,0.33037192,0.26620308,0.06682607,0.6649362,-0.07715005,0.36792105,0.40406764,0.1696688,0.11723956,-0.04511345,-0.56080323,-0.26371703,-0.7896507,-0.74792707,0.11101587,-0.60365474,0.34103113,0.6334061,0.28499004,0.02722719,0.6874395,0.38131112,0.15927337,-0.23552822,0.80363077,0.62439066,-1.0412692,-0.46280253,-0.3273063,0.717186,0.99896765,0.61251265,0.17173107,0.8528623,-0.66937536,0.6951922,-0.2873049,0.59769714,0.4730654,-0.40373853,-0.42421022,-0.072150566,-0.15816423,0.9807614,0.09745293,-0.48108488,1.1373683,-0.5125721,0.017691536,1.2676904,0.88319474,-0.09709268,-0.19664939,0.9213865,-0.044368092,0.15770222,0.04673597,-0.6012166,-0.3172915,0.06427462,0.07650561,-0.24132243,-0.2515447,0.2652633,-0.39189005,0.7626435,-0.22259563,0.8584373,-0.31169444,-0.22408113,-0.6703399,-0.27678815,0.70786726,-0.54158396,0.91133577,0.46011156,-0.73704726,-0.6000184,-0.049465943,0.4161924,0.23952323,-0.50672746,0.38871625,-0.48465222,0.37555605,-0.4354303,-0.3429641,0.90594155,-0.73816174,-0.23818809,0.34866053,0.9872234,0.97505623,0.6036909,-0.20290007,-1.0732341,0.2836187,-0.12627603,-0.39712563,0.4756138,-0.010920614,0.22533834,-0.008684946,0.39417702,-0.5831622,-1.1470299,-0.89128,0.82237923,0.15804671,-0.085203305
O95168	0.20789118,-1.2859899,-0.9606747,-0.7479664,0.80123657,0.20717369,0.52227354,0.00019157515,-0.00023966352,1.1973844,0.049867906,0.03641425,0.41669554,-0.49411058,-0.78947085,-0.1947669,-0.23932067,-1.1297284,0.33158875,-1.2755861,-0.7788463,0.3867261,1.2912974,-0.041882474,0.043473944,0.079970434,-0.09537707,-0.72790575,0.19580032,-0.24610989,-0.016707597,0.1913089,0.055083167,0.2940582,-0.18216786,-0.04050847,-0.19541334,0.09896817,-0.11694362,0.23561342,0.084389105,-0.5559743,-1.4180676,-0.34290853,0.46879962,-0.09067221,-0.61470854,-0.31444004,-0.49432078,0.122721665,0.6881268,0.48182547,0.07428513,0.105848126,0.09068988,0.088217005,-0.035047695,0.3511311,-0.55399734,0.9381568,0.8242244,0.10980105,0.23096284,-0.56914043,0.0040507745,-0.17997016,0.45320404,0.8044014,-0.6048296,-0.052868284,-0.36288828,-0.21383633,-0.117394,0.35588747,-1.0116653,-0.7232671,0.16014309,-0.085484795,-0.5651137,-0.23511216,-0.050460942,0.018116916,-0.07940154,0.012255771,-0.81385136,0.6512755,0.28414115,-0.88122386,0.046418548,-0.286287,0.39988723,-0.12711827,-0.12718712,0.6649931,0.56711406,0.20188491,0.06523385,0.51858485,-0.38384148,-0.4357254,-0.56936306,-0.20533948,0.5284823,-0.3588557,0.7555541,1.2463082,-0.73828053,0.22414368,-0.026715776,0.72867936,0.029821616,0.7251218,-0.019071274,-0.34738442,-0.109069265,0.94213134,-0.7695584,-1.1470731,-1.002922,0.32079613,-0.0286772,0.35165,-0.8427096,-0.360605,-0.4873056,0.45682725,-0.5782954,0.53306335,-0.4837469,0.43773103,-0.8163317,-0.86465526,0.1368319,0.6307538,0.27489164,-0.5552068,0.5887111,0.4622392,0.016679313,0.81268066,-0.05041883,-0.24634236,-0.5171488,0.12840441,0.22228156,0.65837705,-0.13903874,0.023541788,0.35468382,0.05799751,-0.1540006,0.23307025,-0.29353005,-1.2090315,-0.09980995,0.87722284,-1.0833299,0.33042416,0.25968242,0.37263793,-1.392521,-0.5304725,-0.20146354,-0.31347013,-0.5842412,-0.7985596,-0.6646547,0.87359416,0.65922076,-0.16994236,0.4118603,-0.5178258,0.042275425,-0.44287997,-0.28662375,0.19094484,-1.0545158,0.4296473,-0.9096496,-0.46943313,-0.033236615,0.2963502,-0.16714892,0.044508442,-0.57283175,-0.9537229,0.85713047,0.3858481,0.1319735,-0.009927338,0.28826165,0.2442667,0.5527295,0.9961242,0.67426074,-1.456296,0.012952886,-0.22079362,-0.043447625,0.33058643
